"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.491139917E0,2.995261069E-1,5.653551485E-1,2.206100087E0
2.501119917E0,-1.804659788E-1,1.373639011E0,2.197290671E0
2.511098917E0,-1.728192826E-1,1.656285814E0,2.161742524E0
2.521078917E0,-9.568728679E-1,1.415525394E-1,-3.799438870E-1
2.531057917E0,-1.164433894E0,-2.776637330E-1,-1.517464728E0
2.541037917E0,-1.036337990E0,-4.785500161E-1,-1.415809130E0
2.551016917E0,-1.163395648E0,-5.566197006E-1,-1.374083399E0
2.560996917E0,-1.185020040E0,-6.143700184E-1,-1.368466564E0
2.570975917E0,-1.174706063E0,-3.687362364E-1,2.626475716E-1
2.580955917E0,-6.349672741E-1,-5.584761185E-1,9.236326164E-1
2.590934917E0,-1.902275399E-1,-8.503953633E-1,1.010678946E0
2.600914917E0,-1.925692036E-1,-7.486482561E-1,1.393531238E0
2.610893917E0,-2.286716672E-1,-9.764404289E-1,1.432839146E0
2.620873917E0,-9.090863518E-2,4.890815824E-1,1.794422776E0
2.630852917E0,6.714021519E-2,8.863952082E-1,2.477180513E0
2.640832917E0,1.701664008E-1,8.419692332E-1,3.094438325E0
2.650811917E0,6.031578362E-2,5.193078867E-1,3.363110282E0
2.660791917E0,6.514682628E-2,4.177658705E-1,3.387558661E0
2.670770917E0,-1.294431750E-1,7.687275946E-2,2.599028885E0
2.680750917E0,-2.929835111E-1,-6.039238214E-2,1.956578929E0
2.690729917E0,-4.570082889E-1,-1.489104563E-1,1.504112027E0
2.700709917E0,-4.309585778E-1,-1.761269063E-1,1.601422559E0
2.710688917E0,-4.070140835E-1,-2.164843887E-1,1.610615551E0
2.720668917E0,1.013603139E-1,-2.845500720E-1,1.996207849E0
2.730647917E0,1.910003226E-1,-5.008426720E-1,2.358452799E0
2.740627917E0,5.304372577E-1,-9.047677445E-1,2.517834449E0
2.750606917E0,7.548318328E-1,-8.818823272E-1,2.567932223E0
2.760586917E0,7.538700389E-1,-9.167413804E-1,2.578726183E0
2.770565917E0,6.642314190E-1,-4.761647907E-1,1.871983168E0
2.780545917E0,8.027495458E-1,-4.989572373E-1,1.442014596E0
2.790524917E0,9.212732649E-1,-2.970596051E-1,1.054288065E0
2.800504917E0,9.978185072E-1,-1.101694366E-1,4.728111202E-1
2.810483917E0,1.023859886E0,-1.373142582E-1,4.793190712E-1
2.820463917E0,1.188132805E0,-1.376405329E-1,-5.454563427E-1
2.830442917E0,1.372635629E0,-5.713837740E-1,-7.341413140E-1
2.840422917E0,1.587884793E0,-1.114739212E0,-7.228281212E-1
2.850401917E0,1.590987618E0,-1.134791069E0,-7.163347882E-1
2.860381917E0,1.703436884E0,-1.580416144E0,-3.551926231E-1
2.870360917E0,1.957940746E0,-2.098332101E0,1.641880614E-1
2.880340917E0,1.960603422E0,-2.022873199E0,6.442637622E-2
2.890319917E0,1.592414046E0,-1.494951194E0,3.451611400E-1
2.900299917E0,1.411789169E0,-1.141741654E0,-5.498148572E-1
2.910278917E0,1.444579478E0,-1.175640887E0,-5.403049457E-1
2.920258917E0,1.064861220E0,-5.983236507E-1,-1.740628976E0
2.930237917E0,9.440844226E-1,-3.466822931E-1,-2.301439523E0
2.940217917E0,8.894220194E-1,-8.395461470E-2,-2.923313127E0
2.950196917E0,7.973542468E-1,1.643000355E-1,-3.296043304E0
2.960176917E0,8.180514899E-1,1.394283190E-1,-3.287996365E0
2.970155917E0,7.107338134E-1,2.639950624E-1,-3.248865629E0
2.980135917E0,7.324045448E-1,2.206613472E-1,-3.024013875E0
2.990114917E0,7.394837688E-1,1.876780808E-1,-3.011820676E0
3.000094917E0,8.304717068E-1,1.395607585E-1,-2.599376795E0
3.010073917E0,8.403304779E-1,9.740584195E-2,-2.583421497E0
3.020053917E0,8.538162768E-1,2.611816746E-1,-2.196307755E0
3.030032917E0,7.870703101E-1,2.293842235E-1,-2.030359097E0
3.040012917E0,7.728529514E-1,1.490671617E-1,-1.919954894E0
3.049991917E0,8.012777285E-1,3.618198574E-2,-1.868967758E0
3.059971917E0,8.379276377E-1,6.584257185E-3,-1.858111818E0
3.069950917E0,8.047060242E-1,-1.542469177E-1,-1.611387969E0
3.079930917E0,7.417495649E-1,-4.451105207E-2,-1.461430276E0
3.089909917E0,5.591331628E-1,1.627566630E-1,-1.407097363E0
3.099889917E0,4.108402821E-1,4.640797654E-1,-1.297668477E0
3.109868917E0,4.390159678E-1,4.703982666E-1,-1.300900818E0
3.119848917E0,4.360338879E-1,1.301422389E0,-9.140016675E-1
3.129827917E0,4.732362127E-1,1.740628392E0,-5.923732316E-1
3.139807917E0,5.300759728E-1,2.027944196E0,-3.879066253E-1
3.149786917E0,8.880534786E-1,1.796965437E0,-9.427764004E-1
3.159766917E0,8.830015574E-1,1.782056791E0,-9.364017659E-1
3.169745917E0,8.753703562E-1,1.611746695E0,3.109964436E-1
3.179725917E0,1.105242530E0,1.356603440E0,1.978417110E-1
3.189704917E0,1.056560659E0,1.008982669E0,7.236964327E-1
3.199684917E0,1.007629989E0,6.400792024E-1,1.671644111E0
3.209663917E0,1.014442872E0,6.261031875E-1,1.677617626E0
3.219643917E0,1.162380425E0,-1.657314339E-1,2.617965093E0
3.229622917E0,1.152577495E0,-4.566543862E-1,2.816283937E0
3.239602917E0,9.978831189E-1,-4.650585893E-1,2.654551706E0
3.249581917E0,7.414799351E-1,-1.917383873E-1,1.876508912E0
3.259560917E0,8.193511067E-1,-2.201602408E-1,1.890051649E0
3.269540917E0,2.249466802E-1,9.825702113E-1,2.832894123E-1
3.279519917E0,1.151370666E-1,1.553660163E0,-2.902692336E-1
3.289499917E0,-9.473037533E-2,2.006441061E0,-6.314606988E-1
3.299478917E0,-3.287173443E-1,2.236745051E0,-6.895621419E-1
3.309458917E0,-3.203636100E-1,2.224532264E0,-6.835693306E-1
3.319437917E0,-6.135851759E-1,1.632221890E0,1.706802249E-1
3.329417917E0,-5.698209594E-1,8.872749218E-1,1.425508491E0
3.339396917E0,-5.431113169E-1,9.241231978E-3,2.834310318E0
3.349376917E0,-5.833303665E-1,2.419227004E-2,2.826279168E0
3.359355917E0,-6.918184362E-1,-8.728445783E-1,4.172729210E0
3.369335917E0,-7.795485981E-1,-2.471000006E0,5.074147670E0
3.379314917E0,-8.919841962E-1,-2.907313975E0,4.545096275E0
3.389294917E0,-1.035230747E0,-2.895900210E0,3.372775145E0
3.399273917E0,-1.168875147E0,-2.374105210E0,1.913530558E0
3.409253917E0,-1.124417743E0,-2.405171759E0,1.929619757E0
3.419232917E0,-1.305617620E0,-9.762341684E-1,-5.195081538E-1
3.429212917E0,-1.311732492E0,-4.285164151E-1,-1.264235852E0
3.439191917E0,-1.304920194E0,-1.581402862E-1,-1.543986529E0
3.449171917E0,-1.258703801E0,-2.515673903E-1,-1.495044165E0
3.459151167E0,-1.270529210E0,-2.426454163E-1,-1.499828941E0
3.469131167E0,-1.008004357E0,-1.134399598E0,-9.151559079E-1
3.479110167E0,-8.659309036E-1,-1.526250170E0,-7.587101448E-1
3.489090167E0,-7.396083145E-1,-1.698511774E0,-8.040237272E-1
3.499069167E0,-6.171877185E-1,-1.710760814E0,-1.079207144E0
3.509049167E0,-6.172430478E-1,-1.716291403E0,-1.076596947E0
3.519028167E0,-5.664053449E-1,-1.153114488E0,-2.064861177E0
3.529008167E0,-5.355025909E-1,-8.281660035E-1,-2.567823465E0
3.538987167E0,-4.417277968E-1,-5.375427210E-1,-3.026868485E0
3.548967167E0,-3.268615842E-1,-2.732608527E-1,-3.323329335E0
3.558946167E0,-3.472890879E-1,-2.906630436E-1,-3.315664220E0
3.568926167E0,-2.529022548E-1,1.886873102E-1,-3.325593377E0
3.578905167E0,-2.700626633E-1,3.123924664E-1,-3.008901746E0
3.588884167E0,-2.946178079E-1,3.248578531E-1,-2.580614249E0
3.598864167E0,-2.597338857E-1,1.584747469E-1,-2.108162733E0
3.608843167E0,-2.924793166E-1,1.677025303E-1,-2.113221159E0
3.618823167E0,-4.091897228E-1,-9.336307704E-2,-1.301303106E0
3.628802167E0,-3.057267502E-1,-4.572858855E-1,-1.304455340E0
3.638782167E0,-3.806373302E-1,-4.271177611E-1,-9.456187320E-1
3.648761167E0,-4.554104276E-1,-3.899967125E-1,-8.369154847E-1
3.658741167E0,-4.643263717E-1,-3.751427382E-1,-8.440151739E-1
3.668720167E0,-7.133574591E-1,-2.329141876E-1,-8.198457080E-1
3.678700167E0,-8.924272690E-1,-9.614898294E-2,-8.726326168E-1
3.688679167E0,-1.002828475E0,5.760618389E-2,-8.483362663E-1
3.698659167E0,-9.840727995E-1,2.588343099E-1,-6.800574929E-1
3.708638167E0,-9.969807474E-1,2.536381817E-1,-6.776086789E-1
3.718618167E0,-1.188652915E0,5.996816665E-1,-5.204366916E-1
3.728597167E0,-1.286845719E0,7.010887581E-1,-3.744504279E-1
3.738577167E0,-1.307007650E0,6.973158422E-1,-9.251113772E-2
3.748556167E0,-1.228771758E0,6.464240161E-1,2.280677229E-1
3.758536167E0,-1.262685609E0,6.356651393E-1,2.336307639E-1
3.768515167E0,-1.011068809E0,5.710490209E-1,9.046110392E-1
3.778495167E0,-8.967493115E-1,5.605886444E-1,1.291351730E0
3.788474167E0,-8.374558405E-1,5.766354507E-1,1.807773138E0
3.798454167E0,-7.573987605E-1,5.550440222E-1,2.369570695E0
3.808433167E0,-7.968872736E-1,5.590935114E-1,2.369005854E0
3.818413167E0,-6.703240715E-1,5.564184102E-1,3.319153839E0
3.828392167E0,-6.380498531E-1,6.262148693E-1,3.487762980E0
3.838372167E0,-6.222319653E-1,6.876454246E-1,3.099043592E0
3.848351167E0,-6.167503468E-1,6.570887527E-1,2.492431220E0
3.858330167E0,-5.990119410E-1,6.386723623E-1,2.500643635E0
3.868310167E0,-7.935586730E-1,4.749321976E-1,1.434147753E0
